x,y,vx,vy,paddle.y
1088,302,-2,2,302
1086,304,-2,2,304
1084,306,-2,2,306
1082,308,-2,2,308
1080,310,-2,2,310
1078,312,-2,2,312
1076,314,-2,2,314
1074,316,-2,2,316
1072,318,-2,2,318
1070,320,-2,2,320
1068,322,-2,2,322
1066,324,-2,2,324
1064,326,-2,2,326
1062,328,-2,2,328
1060,330,-2,2,330
1058,332,-2,2,332
1056,334,-2,2,334
1054,336,-2,2,336
1052,338,-2,2,338
1050,340,-2,2,340
1048,342,-2,2,342
1046,344,-2,2,344
1044,346,-2,2,346
1042,348,-2,2,348
1040,350,-2,2,350
1038,352,-2,2,352
1036,354,-2,2,354
1034,356,-2,2,356
1032,358,-2,2,358
1030,360,-2,2,360
1028,362,-2,2,362
1026,364,-2,2,364
1024,366,-2,2,366
1022,368,-2,2,368
1020,370,-2,2,370
1018,372,-2,2,372
1016,374,-2,2,374
1014,376,-2,2,376
1012,378,-2,2,378
1010,380,-2,2,380
1008,382,-2,2,382
1006,384,-2,2,384
1004,386,-2,2,386
1002,388,-2,2,388
1000,390,-2,2,390
998,392,-2,2,392
996,394,-2,2,394
994,396,-2,2,396
992,398,-2,2,398
990,400,-2,2,400
988,402,-2,2,402
986,404,-2,2,404
984,406,-2,2,406
982,408,-2,2,408
980,410,-2,2,410
978,412,-2,2,412
976,414,-2,2,414
974,416,-2,2,416
972,418,-2,2,418
970,420,-2,2,420
968,422,-2,2,422
966,424,-2,2,424
964,426,-2,2,426
962,428,-2,2,428
960,430,-2,2,430
958,432,-2,2,432
956,434,-2,2,434
954,436,-2,2,436
952,438,-2,2,438
950,440,-2,2,440
948,442,-2,2,442
946,444,-2,2,444
944,446,-2,2,446
942,448,-2,2,448
940,450,-2,2,450
938,452,-2,2,452
936,454,-2,2,454
934,456,-2,2,456
932,458,-2,2,458
930,460,-2,2,460
928,462,-2,2,462
926,464,-2,2,464
924,466,-2,2,466
922,468,-2,2,468
920,470,-2,2,470
918,472,-2,2,472
916,474,-2,2,474
914,476,-2,2,476
912,478,-2,2,478
910,480,-2,2,480
908,482,-2,2,482
906,484,-2,2,484
904,486,-2,2,486
902,488,-2,2,488
900,490,-2,2,490
898,492,-2,2,492
896,494,-2,2,494
894,496,-2,2,496
892,498,-2,2,498
890,500,-2,2,500
888,502,-2,2,502
886,504,-2,2,504
884,506,-2,2,506
882,508,-2,2,508
880,510,-2,2,510
878,512,-2,2,512
876,514,-2,2,514
874,516,-2,2,516
872,518,-2,2,518
870,520,-2,2,520
868,522,-2,2,522
866,524,-2,2,524
864,526,-2,2,526
862,528,-2,2,528
860,530,-2,2,530
858,532,-2,2,530
856,534,-2,2,530
854,536,-2,2,530
852,538,-2,2,530
850,540,-2,2,530
848,542,-2,2,530
846,544,-2,2,530
844,546,-2,2,530
842,548,-2,2,530
840,550,-2,2,530
838,552,-2,2,530
836,554,-2,2,530
834,556,-2,2,530
832,558,-2,2,530
830,560,-2,2,530
828,562,-2,2,530
826,564,-2,2,530
824,566,-2,2,530
822,568,-2,2,530
820,570,-2,2,530
820,570,-2,-2,530
818,568,-2,-2,530
816,566,-2,-2,530
814,564,-2,-2,530
812,562,-2,-2,530
810,560,-2,-2,530
808,558,-2,-2,530
806,556,-2,-2,530
804,554,-2,-2,530
802,552,-2,-2,530
800,550,-2,-2,530
798,548,-2,-2,530
796,546,-2,-2,530
794,544,-2,-2,530
792,542,-2,-2,530
790,540,-2,-2,530
788,538,-2,-2,530
786,536,-2,-2,530
784,534,-2,-2,530
782,532,-2,-2,530
780,530,-2,-2,530
778,528,-2,-2,528
776,526,-2,-2,526
774,524,-2,-2,524
772,522,-2,-2,522
770,520,-2,-2,520
768,518,-2,-2,518
766,516,-2,-2,516
764,514,-2,-2,514
762,512,-2,-2,512
760,510,-2,-2,510
758,508,-2,-2,508
756,506,-2,-2,506
754,504,-2,-2,504
752,502,-2,-2,502
750,500,-2,-2,500
748,498,-2,-2,498
746,496,-2,-2,496
744,494,-2,-2,494
742,492,-2,-2,492
740,490,-2,-2,490
738,488,-2,-2,488
736,486,-2,-2,486
734,484,-2,-2,484
732,482,-2,-2,482
730,480,-2,-2,480
728,478,-2,-2,478
726,476,-2,-2,476
724,474,-2,-2,474
722,472,-2,-2,472
720,470,-2,-2,470
718,468,-2,-2,468
716,466,-2,-2,466
714,464,-2,-2,464
712,462,-2,-2,462
710,460,-2,-2,460
708,458,-2,-2,458
706,456,-2,-2,456
704,454,-2,-2,454
702,452,-2,-2,452
700,450,-2,-2,450
698,448,-2,-2,448
696,446,-2,-2,446
694,444,-2,-2,444
692,442,-2,-2,442
690,440,-2,-2,440
688,438,-2,-2,438
686,436,-2,-2,436
684,434,-2,-2,434
682,432,-2,-2,432
680,430,-2,-2,430
678,428,-2,-2,428
676,426,-2,-2,426
674,424,-2,-2,424
672,422,-2,-2,422
670,420,-2,-2,420
668,418,-2,-2,418
666,416,-2,-2,416
664,414,-2,-2,414
662,412,-2,-2,412
660,410,-2,-2,410
658,408,-2,-2,408
656,406,-2,-2,406
654,404,-2,-2,404
652,402,-2,-2,402
650,400,-2,-2,400
648,398,-2,-2,398
646,396,-2,-2,396
644,394,-2,-2,394
642,392,-2,-2,392
640,390,-2,-2,390
638,388,-2,-2,388
636,386,-2,-2,386
634,384,-2,-2,384
632,382,-2,-2,382
630,380,-2,-2,380
628,378,-2,-2,378
626,376,-2,-2,376
624,374,-2,-2,374
622,372,-2,-2,372
620,370,-2,-2,370
618,368,-2,-2,368
616,366,-2,-2,366
614,364,-2,-2,364
612,362,-2,-2,362
610,360,-2,-2,360
608,358,-2,-2,358
606,356,-2,-2,356
604,354,-2,-2,354
602,352,-2,-2,352
600,350,-2,-2,350
598,348,-2,-2,348
596,346,-2,-2,346
594,344,-2,-2,344
592,342,-2,-2,342
590,340,-2,-2,340
588,338,-2,-2,338
586,336,-2,-2,336
584,334,-2,-2,334
582,332,-2,-2,332
580,330,-2,-2,330
578,328,-2,-2,328
576,326,-2,-2,326
574,324,-2,-2,324
572,322,-2,-2,322
570,320,-2,-2,320
568,318,-2,-2,318
566,316,-2,-2,316
564,314,-2,-2,314
562,312,-2,-2,312
560,310,-2,-2,310
558,308,-2,-2,308
556,306,-2,-2,306
554,304,-2,-2,304
552,302,-2,-2,302
550,300,-2,-2,300
548,298,-2,-2,298
546,296,-2,-2,296
544,294,-2,-2,294
542,292,-2,-2,292
540,290,-2,-2,290
538,288,-2,-2,288
536,286,-2,-2,286
534,284,-2,-2,284
532,282,-2,-2,282
530,280,-2,-2,280
528,278,-2,-2,278
526,276,-2,-2,276
524,274,-2,-2,274
522,272,-2,-2,272
520,270,-2,-2,270
518,268,-2,-2,268
516,266,-2,-2,266
514,264,-2,-2,264
512,262,-2,-2,262
510,260,-2,-2,260
508,258,-2,-2,258
506,256,-2,-2,256
504,254,-2,-2,254
502,252,-2,-2,252
500,250,-2,-2,250
498,248,-2,-2,248
496,246,-2,-2,246
494,244,-2,-2,244
492,242,-2,-2,242
490,240,-2,-2,240
488,238,-2,-2,238
486,236,-2,-2,236
484,234,-2,-2,234
482,232,-2,-2,232
480,230,-2,-2,230
478,228,-2,-2,228
476,226,-2,-2,226
474,224,-2,-2,224
472,222,-2,-2,222
470,220,-2,-2,220
468,218,-2,-2,218
466,216,-2,-2,216
464,214,-2,-2,214
462,212,-2,-2,212
460,210,-2,-2,210
458,208,-2,-2,208
456,206,-2,-2,206
454,204,-2,-2,204
452,202,-2,-2,202
450,200,-2,-2,200
448,198,-2,-2,198
446,196,-2,-2,196
444,194,-2,-2,194
442,192,-2,-2,192
440,190,-2,-2,190
438,188,-2,-2,188
436,186,-2,-2,186
434,184,-2,-2,184
432,182,-2,-2,182
430,180,-2,-2,180
428,178,-2,-2,178
426,176,-2,-2,176
424,174,-2,-2,174
422,172,-2,-2,172
420,170,-2,-2,170
418,168,-2,-2,168
416,166,-2,-2,166
414,164,-2,-2,164
412,162,-2,-2,162
410,160,-2,-2,160
408,158,-2,-2,158
406,156,-2,-2,156
404,154,-2,-2,154
402,152,-2,-2,152
400,150,-2,-2,150
398,148,-2,-2,148
396,146,-2,-2,146
394,144,-2,-2,144
392,142,-2,-2,142
390,140,-2,-2,140
388,138,-2,-2,138
386,136,-2,-2,136
384,134,-2,-2,134
382,132,-2,-2,132
380,130,-2,-2,130
378,128,-2,-2,128
376,126,-2,-2,126
374,124,-2,-2,124
372,122,-2,-2,122
370,120,-2,-2,120
368,118,-2,-2,118
366,116,-2,-2,116
364,114,-2,-2,114
